country,value
Philippines,100
Sri Lanka,94
Pakistan,93
Romania,89
Ghana,87
Tanzania,85
South Africa,85
Australia,84
Singapore,78
United Kingdom,75
Bulgaria,75
Nigeria,71
Malaysia,68
New Zealand,67
Lebanon,66
Bangladesh,64
Serbia,60
India,60
Netherlands,58
Ireland,58
Kenya,58
United Arab Emirates,57
Indonesia,56
Hong Kong,54
United States,51
Slovakia,50
Slovenia,49
Algeria,45
Greece,44
Canada,43
Czech Republic,42
Puerto Rico,42
Tunisia,40
Belgium,40
Finland,39
Switzerland,37
Croatia,36
Denmark,35
Portugal,33
Hungary,33
Germany,31
Poland,30
Lithuania,29
Italy,29
Austria,27
France,27
Morocco,25
Sweden,25
Norway,25
Israel,21
Bolivia,19
Vietnam,19
Thailand,19
Egypt,18
Brazil,18
Mexico,17
Spain,17
South Korea,15
Chile,14
Saudi Arabia,13
Iran,12
Colombia,11
Peru,11
China,11
Venezuela,10
Taiwan,10
Ukraine,10
Turkey,9
Argentina,9
Russia,8
Japan,3
